2,4
2,4
4,4
4,4
2,4
3,4
2,8
4,16
1,20
1,20
3,20
2,20
3,24
2,32
1,36
2,36
1,36
2,36
1,40
1,48
3,68
1,68
2,72
1,72
1,76
1,76
1,80
3,100
2,116
2,116
2,116
1,116
2,116
4,164
1,180
2,180
1,180
2,180
3,192
2,196
4,204
2,204
4,204
1,204
1,208
4,208
4,208
1,208
4,208
3,208
4,208
4,208
3,208
2,228
4,228
3,228
2,244
3,244
4,248
4,248
1,264
4,300
3,300
4,300
4,304
3,312
3,312
4,312
4,312
2,384
4,416
1,436
3,480
3,480
1,480
4,484
2,484
3,484
4,484
3,484
2,496
3,504
1,520
2,536
3,552
2,552
2,552
4,556
3,560
1,560
3,600
4,600
1,604
3,604
1,672
2,672
4,688
2,692
3,700
4,700
1,704
4,732
4,764
2,772
2,780
4,780
4,780
2,784
2,788
3,788
1,804
1,804
2,804
4,804
4,804
1,812
3,820
1,844
2,844
2,852
3,856
2,864
1,880
3,884
3,888
1,896
2,916
2,948
1,952
1,952
2,952
3,968
4,968
2,972
1,972
2,972
2,976
3,996
3,1004
3,1004
2,1008
3,1136
3,1136
3,1136
3,1136
4,1136
4,1136
3,1136
2,1148
1,1164
3,1168
2,1172
4,1172
3,1172
3,1172
2,1176
1,1184
3,1188
3,1196
2,1196
4,1216
1,1216
4,1216
4,1220
