4,4
1,4
3,8
4,16
2,16
3,20
1,20
1,20
4,24
4,24
1,24
4,28
3,40
4,40
4,40
3,44
4,44
4,44
2,44
4,52
4,56
1,60
3,68
3,68
3,72
3,72
3,72
4,72
3,72
3,72
1,96
2,112
4,140
2,140
3,172
2,172
4,172
4,172
1,172
2,208
2,208
3,216
2,236
3,236
3,236
1,240
1,248
1,248
1,248
3,264
3,264
2,300
2,300
1,300
4,304
2,312
3,380
1,380
4,380
3,380
4,380
3,380
1,392
2,408
2,412
3,412
3,412
3,412
3,416
4,420
1,440
4,440
4,440
2,440
4,456
3,456
3,456
4,456
1,464
4,472
2,488
2,488
2,492
4,536
3,536
3,540
3,540
4,540
4,540
3,540
4,540
3,540
4,540
2,556
2,572
3,588
3,588
2,592
3,592
2,604
1,608
2,608
3,632
1,668
1,668
3,668
1,668
2,668
1,668
2,668
3,676
1,680
3,688
3,704
1,712
1,712
1,712
1,712
4,776
2,816
3,816
2,816
4,816
2,824
2,832
2,848
3,848
3,848
1,852
1,852
3,868
1,868
3,884
3,884
3,888
2,924
4,1052
2,1056
2,1064
3,1076
1,1092
4,1092
1,1092
1,1092
4,1092
2,1092
3,1096
4,1104
3,1120
2,1152
4,1224
4,1232
1,1232
3,1240
1,1248
1,1248
1,1248
3,1268
1,1268
1,1272
2,1280
3,1280
2,1284
1,1284
3,1284
2,1288
1,1288
4,1292
3,1300
1,1320
1,1320
4,1320
2,1336
3,1352
3,1356
2,1364
1,1364
4,1368
1,1380
3,1388
2,1404
1,1436
1,1436
1,1436
4,1440
1,1444
2,1448
1,1448
1,1448
1,1448
4,1456
3,1460
4,1460
